"child_id","response_id","time","time_stamp","list","age","sex","lp","doe_catalan","doe_spanish","edu_parent"
"54531","872",1,2020-04-19,"bvq-short",31.6386036960986,"male","Monolingual",0.9,0.1,"University"
"54794","828",1,2020-04-15,"bvq-short",29.305954825462,"female","Monolingual",1,0,"University"
"54828","826",1,2020-06-11,"bvq-short",30.7843942505133,"male","Monolingual",1,0,"University"
"54881","1197",1,2020-06-03,"bvq-short",29.2073921971253,"female","Bilingual",0.5,0.5,"Complementary"
"54939","952",1,2020-05-08,"bvq-short",28.911704312115,"female","Bilingual",0.2,0.7,"University"
"54974","1051",1,2020-05-23,"bvq-short",29.2402464065708,"male","Bilingual",0.4,0.6,"Vocational"
"54978","940",1,2020-05-18,"bvq-short",28.9774127310062,"female","Monolingual",0.1,0.9,"University"
"55011","942",1,2020-05-18,"bvq-short",28.4517453798768,"male","Monolingual",0.2,0.8,"Vocational"
"55027","811",1,2020-04-13,"bvq-short",27.1375770020534,"male","Bilingual",0.6,0.3,"University"
"55056","950",1,2020-05-08,"bvq-short",27.9917864476386,"male","Monolingual",0.1,0.8,"University"
"55062","807",1,2020-04-15,"bvq-short",26.9075975359343,"female","Monolingual",0.15,0.85,"Vocational"
"55063","1095",1,2020-05-26,"bvq-short",28.3203285420945,"female","Bilingual",0.5,0.5,NA
"55064","1099",1,2020-05-26,"bvq-short",28.2874743326489,"male","Bilingual",0.6,0.3,"University"
"55080","1044",1,2020-06-01,"bvq-short",28.4517453798768,"female","Monolingual",0.8,0.2,"University"
"55103","1123",2,2020-05-30,"bvq-short",28.2874743326489,"male","Monolingual",0.8,0.2,"University"
"55129","796",1,2020-04-12,"bvq-short",26.5790554414784,"female","Monolingual",1,0,"University"
"55144","1151",1,2020-06-08,"bvq-short",28.35318275154,"male","Monolingual",1,0,"University"
"55146","1158",1,2020-05-28,"bvq-short",27.958932238193,"male","Bilingual",0.5,0.5,"University"
"55157","1270",1,2020-06-09,"bvq-short",28.2546201232033,"female","Monolingual",0.8,0.2,"University"
"55162","1271",1,2020-06-09,"bvq-short",28.2217659137577,"male","Monolingual",1,0,"University"
"55168","1071",1,2020-05-30,"bvq-short",27.7946611909651,"female","Bilingual",0.3,0.7,"University"
"55179","1272",1,2020-06-09,"bvq-short",28.0246406570842,"male","Monolingual",1,0,"University"
"55181","1273",1,2020-06-10,"bvq-short",28.0246406570842,"male","Monolingual",0.8,0.2,"University"
"55217","1064",1,2020-06-07,"bvq-short",27.6960985626283,"male","Bilingual",0.3,0.7,"University"
"55220","1192",1,2020-06-07,"bvq-short",28.1889117043121,"male","Bilingual",0.5,0.5,"University"
"55246","1122",1,2020-06-08,"bvq-short",28.0246406570842,"male","Bilingual",0.5,0.4,"University"
"55281","1062",1,2020-05-22,"bvq-short",27.006160164271,"male","Bilingual",0.7,0.3,"Vocational"
"55282","1063",1,2020-05-21,"bvq-short",26.9733059548255,"male","Bilingual",0.4,0.6,"Vocational"
"55300","779",1,2020-04-11,"bvq-short",25.3634496919918,"female","Monolingual",1,0,"University"
"55311","1114",1,2020-05-27,"bvq-short",26.8090349075975,"female","Bilingual",0.6,0.35,"University"
"55315","1184",1,2020-06-01,"bvq-short",26.9075975359343,"female","Bilingual",0.75,0.15,"University"
"55322","1060",1,2020-05-22,"bvq-short",26.5133470225873,"male","Monolingual",0,1,"Complementary"
"55332","1199",1,2020-06-03,"bvq-short",26.8747433264887,"female","Bilingual",0.4,0.5,"University"
"55336","1113",1,2020-05-28,"bvq-short",26.611909650924,"female","Bilingual",0.6,0.4,"University"
"55338","1289",1,2020-06-09,"bvq-short",27.006160164271,"male","Monolingual",1,0,"University"
"55352","1178",1,2020-05-30,"bvq-short",26.611909650924,"female","Bilingual",0.7,0.3,"University"
"55353","1177",1,2020-05-30,"bvq-short",26.5462012320329,"male","Monolingual",1,0,"Vocational"
"55373","1305",1,2020-06-19,"bvq-short",26.9733059548255,"male","Monolingual",0.8,0.2,"University"
"55387","768",1,2020-04-08,"bvq-short",24.6078028747433,"male","Bilingual",0.5,0.5,"University"
"55419","782",1,2020-04-13,"bvq-short",24.3449691991786,"male","Bilingual",0.6,0.4,"University"
"55424","1276",1,2020-06-21,"bvq-short",26.5462012320329,"male","Monolingual",0.9,0.1,"Complementary"
"55437","1068",1,2020-05-22,"bvq-short",25.4620123203285,"female","Monolingual",0.2,0.8,"Vocational"
"55448","776",1,2020-04-30,"bvq-short",24.7063655030801,NA,"Monolingual",0.05,0.85,"University"
"55451","1067",1,2020-05-24,"bvq-short",25.4620123203285,"female","Monolingual",0.1,0.9,"University"
"55465","1042",1,2020-05-31,"bvq-short",25.6262833675565,"male","Monolingual",0.2,0.8,NA
"55517","1229",1,2020-06-07,"bvq-short",25.4948665297741,"female","Monolingual",0.9,0.1,"University"
"55528","1230",1,2020-06-10,"bvq-short",25.4948665297741,"female","Monolingual",0.9,0.1,"University"
"55535","1277",1,2020-06-16,"bvq-short",28.2546201232033,"male","Monolingual",0.9,0.1,"University"
"55543","1340",1,2020-06-16,"bvq-short",25.5934291581109,"male","Bilingual",0.6,0.4,"University"
